Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9820627802690582,0.9448275862068966,0.9194630872483222,0.9319727891156463
Naive Bayes,0.9721973094170404,0.9916666666666667,0.7986577181208053,0.8847583643122676
